State,Code,Population Estimate,"Sex (Female persons, percent)",Race (White Alone),Race (Black Alone),Race (Asian Alone),Veterans,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median gross rent,Persons per household,Living in same house 1 year ago,Households with a computer,Households with a broadband internet subscription,"High school graduate or higher, percent above 25 years","Bachelors degree or higher, percent above 25 years","With a disability, percent under 25 years","Without health insurance, percent under 25 years","In civilian labour force, total, percent above 16 years","In civilian labour force, female, percent above 16 years",Total accomodation and food services sales ($1000) 2012,Total health care and social assistance revenue ($1000) 2012,Total manufacturers shipments ($1000) 2012,Mean time to travel to work (minutes),Median household income,Per capita income,"Persons in poverty, percent",Total employer establishments,Total employment,Total annual payroll ($1000),Men-owned firms,Women-owned firms,Minority-owned firms,Nonminority-owned firms,Land area in square miles,Total all classes arrests,Violent crime arrests,Property crime arrests,Murder and nonnegligent manslaughter arrests,Rape arrests,Robbery arrests,Aggravated assault arrests,Burglary arrests,Larceny- theft arrests,Motor vehicle theft arrests,Arson arrests,Other assaults arrests,Forgery and counterfeiting arrests,Fraud arrests,Embezzlement arrests,Stolen property arrests,Vandalism arrests,Weapons arrests,Prostitution arrests,Sex offenses (except rape and prostitution) arrests,Drug  abuse violations arrests,Gambling arrests,Offenses against the family and children arrests,Driving under the influence arrests,Liquor laws arrests,Drunkenness arrests,Disorderly conduct arrests,Vagrancy arrests,All other offenses (except traffic) arrests,Suspicion arrests,Curfew and loitering law violations arrests,Electoral Result,Drug abuse violations arrests
Georgia,GA,10799566,51.4,60.2,32.6,4.4,625251,64.0,190200,1042,2.68,85.5,92.0,84.4,87.9,32.2,8.9,15.5,62.7,58.6,18976611,51800643,155836792,28.7,61224,32427,14.0,239034,4040559,212578382,480578,376506,371588,538893,57513.49,"59,704","2,313","7,510",70,88,316,"1,839",873,"6,318",282,37,"4,924",493,712,17,634,"1,048",742,148,394,"10,763",15.0,784,"5,620",461,466,"2,986",322,"19,252",4.0,96,D,"10,763"
Hawaii,HI,1441553,50.0,25.5,2.2,37.6,97478,60.3,636400,1651,2.94,86.8,92.7,87.1,92.5,33.6,6.4,5.0,61.5,59.8,9536706,8136947,D,27.1,83173,37013,8.9,32889,553206,25838555,60409,44453,74208,38510,6422.63,"25,165",856,"2,500",28,91,224,513,285,"1,937",239,39,"3,159",59,98,1,449,144,207,107,119,"1,947",103.0,8,"4,049",343,0,573,3,"10,267",0.0,173,D,"1,947"
Idaho,ID,1900923,49.9,93.0,0.9,1.6,115549,70.8,235600,887,2.66,83.2,93.2,86.0,91.3,28.7,9.5,12.8,62.8,57.0,2680225,7895614,20201432,21.2,58915,29494,10.1,50547,616778,26955259,70438,45121,10592,130973,82643.12,"57,646","1,878","4,644",84,204,83,"1,507",711,"3,707",179,47,"4,200",97,343,40,171,760,304,13,291,"10,889",0.0,620,"7,893","1,250",650,"1,537",11,"21,953",9.0,93,R,"10,889"
Illinois,IL,12671469,50.9,76.8,14.6,5.9,553593,66.3,202100,1038,2.54,87.5,91.5,85.4,89.7,35.5,7.3,8.6,65.1,60.5,27937381,83431778,281037755,29.0,68428,37306,11.0,320417,5530388,325435485,609648,417500,311684,795129,55518.93,"8,248",487,565,18,19,75,375,76,461,12,16,"1,516",17,33,0,93,319,137,62,10,569,0.0,213,396,73,0,643,21,"3,070",0.0,24,D,569
Indiana,IN,6805985,50.7,84.8,9.9,2.6,372074,69.5,148900,844,2.50,85.7,90.3,83.2,89.3,27.2,9.9,10.3,63.7,59.0,13076602,42493117,242763842,23.9,58235,30693,11.6,148917,2834056,132501965,253533,162798,61252,405090,35826.11,"76,675","3,235","8,492",71,90,332,"2,742",851,"6,940",634,67,"5,680",664,"1,010",57,129,541,"1,202",17,283,"15,134",19.0,532,"8,524","2,434","1,771","1,883",25,"24,965",12.0,66,R,"15,134"
Iowa,IA,3193079,50.2,90.6,4.1,2.7,178481,71.2,153900,806,2.40,85.6,90.4,83.1,92.5,29.3,8.0,6.0,67.0,62.7,5468687,18583828,116668830,19.5,61836,33021,10.2,82770,1380747,63671064,135382,82345,14707,236561,55857.13,"87,139","4,436","10,055",35,183,274,"3,944","1,271","8,118",581,85,"7,173",433,558,45,239,"1,874",715,32,96,"8,444",4.0,870,"9,667","2,491","4,474","3,180",8,"32,223",0.0,122,R,"8,444"
Kansas,KS,2934582,50.2,86.3,6.1,3.2,172750,66.2,157600,863,2.48,84.1,91.7,84.5,91.4,33.9,9.1,10.9,65.9,61.5,4873411,18248370,86076260,19.6,61091,32798,10.6,74292,1209318,57272387,125169,77194,26127,204562,81758.72,"52,378","2,212","3,741",51,112,190,"1,859",416,"2,983",290,52,"7,043",160,349,46,482,"1,536",767,79,129,"8,475",1.0,216,"5,672","1,751",103,"1,425",0,"18,191",0.0,0,R,"8,475"
Kentucky,KY,4509394,50.7,87.5,8.5,1.6,257452,67.6,147100,783,2.48,85.5,88.5,81.6,87.2,25.0,13.2,7.7,59.1,55.1,7500115,26264745,129284438,23.7,52238,29123,14.9,91219,1666637,74883767,184154,106011,27258,296155,39486.34,"241,668","3,386","16,163",161,267,774,"2,184","2,646","12,383",987,147,"12,391","1,074","1,426",351,"2,902","1,406",820,100,234,"24,555",19.0,"5,202","15,570",135,"14,049","4,082",50,"137,751",0.0,2,R,"24,555"
Louisiana,LA,4624047,51.2,62.8,32.8,1.8,239881,66.6,168100,876,2.59,87.4,88.1,79.1,85.9,24.9,11.2,10.5,58.7,55.2,11697949,27951792,271191050,25.8,50800,29522,17.8,106302,1719561,82452225,215111,151114,126100,277676,43203.90,"146,664","8,823","24,465",339,333,920,"7,231","3,794","19,323","1,254",94,"15,577",573,911,129,"1,900","2,457","3,119",339,562,"25,900",92.0,"1,369","5,509","1,842","2,248","5,683",323,"44,684",20.0,139,R,"25,900"
Maine,ME,1372247,51.0,94.4,1.7,1.3,101652,72.9,198000,873,2.29,87.1,91.1,84.3,93.2,32.5,11.5,10.1,62.8,59.6,2901347,10297043,16044543,24.3,59489,33774,10.6,41843,522191,24129240,79243,42067,4339,131322,30842.92,"38,973",685,"5,010",10,63,89,523,502,"4,266",197,45,"4,792",145,401,41,98,981,137,51,175,"3,600",3.0,154,"5,444","1,577",13,"1,232",2,"14,427",2.0,3,D,"3,600"
